round,accuracy,precision,recall,f1_score,auc_roc
1,0.5484536082474227,0.5340425531914894,1.0,0.6962552011095701,0.9048421697824088
2,0.7525773195876289,0.6794520547945205,0.9880478087649402,0.8051948051948052,0.9244475091088636
3,0.7278350515463917,0.6578249336870027,0.9880478087649402,0.7898089171974523,0.8959546429665952
4,0.7072164948453609,0.6401028277634961,0.9920318725099602,0.778125,0.8837470630299316
5,0.6969072164948453,0.6326530612244898,0.9880478087649402,0.7713841368584758,0.8788946776994586
6,0.6865979381443299,0.6240601503759399,0.9920318725099602,0.7661538461538462,0.8646950658902851
7,0.6845360824742268,0.6225,0.9920318725099602,0.7649769585253456,0.8590084108012394
8,0.711340206185567,0.6456692913385826,0.9800796812749004,0.7784810126582279,0.8636054074301086
9,0.6927835051546392,0.6294416243654822,0.9880478087649402,0.7689922480620155,0.8522491231654579
10,0.6701030927835051,0.6117936117936118,0.9920318725099602,0.756838905775076,0.8481118261994757
11,0.643298969072165,0.5924170616113744,0.9960159362549801,0.7429420505200595,0.8244202676473593
12,0.6742268041237114,0.6148148148148148,0.9920318725099602,0.7591463414634146,0.8444001770694998
13,0.6804123711340206,0.62,0.9880478087649402,0.7619047619047619,0.8327204004494841
14,0.6659793814432989,0.6093366093366094,0.9880478087649402,0.7537993920972644,0.8131661388633501
15,0.6783505154639176,0.6184538653366584,0.9880478087649402,0.7607361963190185,0.80385296421153
1,0.6020618556701031,0.5653153153153153,1.0,0.7223021582733813,0.9095242959784792
2,0.6845360824742268,0.6225,0.9920318725099602,0.7649769585253456,0.9186672114958967
3,0.7030927835051546,0.6368286445012787,0.9920318725099602,0.7757009345794392,0.9055913099737801
4,0.6721649484536083,0.6133004926108374,0.9920318725099602,0.7579908675799086,0.8813464092348555
5,0.6845360824742268,0.6231155778894473,0.9880478087649402,0.7642526964560863,0.8899104436953044
6,0.6845360824742268,0.6231155778894473,0.9880478087649402,0.7642526964560863,0.8841556849524976
7,0.6762886597938145,0.6163366336633663,0.9920318725099602,0.7603053435114504,0.8705775189838936
8,0.711340206185567,0.6441558441558441,0.9880478087649402,0.779874213836478,0.8625668267102531
9,0.7030927835051546,0.6375321336760925,0.9880478087649402,0.775,0.8598511935165322
10,0.7381443298969073,0.6675675675675675,0.9840637450199203,0.7954911433172303,0.852061838117615
11,0.6783505154639176,0.6172839506172839,0.9960159362549801,0.7621951219512195,0.8590680014982804
12,0.6762886597938145,0.6163366336633663,0.9920318725099602,0.7603053435114504,0.8497888786733407
13,0.6845360824742268,0.6231155778894473,0.9880478087649402,0.7642526964560863,0.8324735247046005
14,0.6865979381443299,0.6259541984732825,0.9800796812749004,0.7639751552795031,0.835708448258249
15,0.6969072164948453,0.634020618556701,0.9800796812749004,0.7699530516431925,0.8373940136888345
16,0.6804123711340206,0.6194029850746269,0.9920318725099602,0.7626339969372129,0.8049170838015459
17,0.6804123711340206,0.6188118811881188,0.9960159362549801,0.7633587786259542,0.830719855620254
18,0.668041237113402,0.6102941176470589,0.9920318725099602,0.7556904400606981,0.8081605203119148
19,0.6824742268041237,0.6215538847117794,0.9880478087649402,0.7630769230769231,0.8454217318759152
20,0.6783505154639176,0.6172839506172839,0.9960159362549801,0.7621951219512195,0.7940460380699425
21,0.6845360824742268,0.6225,0.9920318725099602,0.7649769585253456,0.8145026730684101
22,0.6824742268041237,0.6215538847117794,0.9880478087649402,0.7630769230769231,0.8010436884938876
23,0.6639175257731958,0.6067961165048543,0.9960159362549801,0.7541478129713424,0.7678942350257091
24,0.6742268041237114,0.6148148148148148,0.9920318725099602,0.7591463414634146,0.7512088398542581
25,0.6948453608247422,0.6323907455012854,0.9800796812749004,0.76875,0.7906068035550108
26,0.6783505154639176,0.6184538653366584,0.9880478087649402,0.7607361963190185,0.7650934722647871
27,0.688659793814433,0.6262626262626263,0.9880478087649402,0.7666151468315301,0.7527156331937208
28,0.6845360824742268,0.6231155778894473,0.9880478087649402,0.7642526964560863,0.7661746177682432
29,0.6783505154639176,0.6190476190476191,0.9840637450199203,0.76,0.7428320904416521
30,0.6742268041237114,0.6148148148148148,0.9920318725099602,0.7591463414634146,0.7272448666870978
